main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
25,제주,헬스,50,이반석,2층 무브멘탈랩,16854,(주)무브멘탈랩 ,1,제주특별자치도 서귀포시 성산읍 성산등용로 78,서귀포시,63643,50130,5838102837,강좌,,True
3,서울,기타종목,11,김세화,2층 비알뇌교육(창전동),16855,(주)비알뇌교육 마포지점,27429,서울특별시 마포구 토정로 187,마포구,4086,11440,3128124355,강좌,027181785,True
3,경기,기타종목,41,김인경,녹원토피아빌딩 5층(하안동),16856,매드짐 광명 클라이밍센터,21209,경기도 광명시 범안로 1008,광명시,423851,41210,1191844137,강좌,028095014,True
3,대구,기타종목,27,설영일,(율하동),16857,동구청소년문화의집 아름드리,1,대구광역시 동구 안심로16길 51,동구,41106,27140,2218276933,강좌,0539640924,True
22,대구,태권도,27,김인석,5층 강한아이태권스쿨(두산동),16858,강한아이태권도장,1,대구광역시 수성구 동대구로15길 23,수성구,42171,27260,7589201006,강좌,0537647654,True
73,서울,야구,11,이충희,야미사 아카데미(성내동),16859,야미사 야구 아카데미,1,서울특별시 강동구 천호대로176길 32,강동구,5374,11740,2190868861,강좌,024777796,True
3,서울,기타종목,11,김세화,정산빌딩 601호(반포동),16860,(주)비알뇌교육 서초지점,27434,서울특별시 서초구 고무래로10길 17,서초구,6593,11650,3128124355,강좌,025330128,True
3,경기,기타종목,41,권준영,3층 301호 미사점프윙스줄넘기(망월동),16861,미사점프윙스줄넘기,1,경기도 하남시 미사강변대로226번길 26,하남시,12909,41450,7339101811,강좌,,True
76,대전,복싱,30,강희준,황실빌딩4층 대전챔프복싱클럽(유천동),16862,대전챔프복싱클럽,1,대전광역시 중구 계백로 1528,중구,34986,30140,5699100996,강좌,0425862737,True
22,전북,태권도,52,하용철,2층 송천경희대태권도(송천동2가),16863,송천경희대태권도,1,전라북도 전주시 덕진구 붓내3길 24,전주시,54829,52110,2249509054,강좌,0632710040,True
22,서울,태권도,11,김성두,"부상가 3층 신성태권도(등촌동, 등촌동아이파크)",16864,신성태권도,1,서울특별시 강서구 등촌로 163,강서구,7671,11500,3099951813,강좌,,True
1,제주,검도,50,김기현,"103호 아라해동검도관(아라일동, 아라 디오반)",16865,아라해동검도관,1,제주특별자치도 제주시 아란9길 33,제주시,63238,50110,6555000810,강좌,,True
79,경기,필라테스,41,최하나,2층 207호 수아름필라테스(선부동),16866,수아름 필라테스 선부점,1,경기도 안산시 단원구 선부광장1로 38,안산시,15240,41270,6900502510,강좌,0314391926,True
